"","codocorren","data","hora","mes","diaSemana","tipo","viaA","viaB","tipoenvolv","tipoAutomo","genero","idade","embriagado","vitima","obito","habilitado","ciclo","pavimentac","viaACod","viaATotal","viaAFxRola","viaBCod","viaBtotal","viaBFxRola","bairro","zona","longX","latY","intersecao","intersecaoCodA","intersecaoCodB","intersecaolongx","intersecaolaty","intersecaoCiclo"
"766","2019-620",2019-03-15,"14:00","Março","sexta-feira","colisão","R.Blumenau","R.Henrique Vigarani","veículo","Motocicleta","masc.","53",0,1,0,1,"ciclofaixa","Asfalto",157,"14","10",445,"10","7","São João","Área Urbana",-48.67884407,-26.88836473,"R.Henrique Vigarani-R.Blumenau",445,157,-48.6783326928103,-26.8883963024822,""
"7661","2019-620",2019-03-15,"14:00","Março","sexta-feira","colisão","R.Blumenau","R.Henrique Vigarani","veículo","Motocicleta","masc.","55",0,1,0,1,"ciclofaixa","Asfalto",157,"14","10",445,"10","7","São João","Área Urbana",-48.67884407,-26.88836473,"R.Henrique Vigarani-R.Blumenau",445,157,-48.6783326928103,-26.8883963024822,""
"767","2019-945",2019-04-22,"14:00","Abril","segunda-feira","colisão","R.Henrique Vigarani","","veículo","Automóvel","masc.","27",0,1,0,1,"","Lajota",445,"10","7",NA,"","","Barra do Rio","Área Urbana",-48.67823615,-26.88793389,"R.Henrique Vigarani-R.Blumenau",445,157,-48.6783326928103,-26.8883963024822,""
"7671","2019-945",2019-04-22,"14:00","Abril","segunda-feira","colisão","R.Henrique Vigarani","","veículo","Motoneta","masc.","33",0,1,0,1,"","Lajota",445,"10","7",NA,"","","Barra do Rio","Área Urbana",-48.67823615,-26.88793389,"R.Henrique Vigarani-R.Blumenau",445,157,-48.6783326928103,-26.8883963024822,""
"768","2019-48",2019-01-08,"12:30","Janeiro","terça-feira","abalroamento","R.Indaial","","veículo","Caminhonete","masc.","53",0,0,0,1,"","Asfalto",227,"17","11",NA,"","","Dom Bosco","Área Urbana",-48.67734159,-26.92018127,"R.Indaial-R.Indaial",227,227,-48.6773509756814,-26.9199188535026,""
"7681","2019-48",2019-01-08,"12:30","Janeiro","terça-feira","abalroamento","R.Indaial","","veículo","Automóvel","masc.","24",0,0,0,1,"","Asfalto",227,"17","11",NA,"","","Dom Bosco","Área Urbana",-48.67734159,-26.92018127,"R.Indaial-R.Indaial",227,227,-48.6773509756814,-26.9199188535026,""
"769","2019-505",2019-03-01,"14:09","Março","sexta-feira","colisão","R.Indaial","","veículo","Automóvel","masc.","22",0,0,0,1,"","Asfalto",227,"17","11",NA,"","","Dom Bosco","Área Urbana",-48.67728685,-26.91969128,"R.Indaial-R.Indaial",227,227,-48.6773509756814,-26.9199188535026,""
"7691","2019-505",2019-03-01,"14:09","Março","sexta-feira","colisão","R.Indaial","","veículo","Utilitário","masc.","48",0,0,0,1,"","Asfalto",227,"17","11",NA,"","","Dom Bosco","Área Urbana",-48.67728685,-26.91969128,"R.Indaial-R.Indaial",227,227,-48.6773509756814,-26.9199188535026,""
"770","2019-827",2019-04-05,"19:30","Abril","sexta-feira","colisão","R.Blumenau","","veículo","Automóvel","masc.","33",0,0,0,1,"ciclofaixa","Asfalto",157,"14","10",NA,"","","São João","Área Urbana",-48.67951797,-26.88784745,"R.Luiz José Bento da Silva-R.Blumenau",444,157,-48.6793087941677,-26.8877764827615,""
"7701","2019-827",2019-04-05,"19:30","Abril","sexta-feira","colisão","R.Blumenau","","veículo","Automóvel","","",0,0,0,1,"ciclofaixa","Asfalto",157,"14","10",NA,"","","São João","Área Urbana",-48.67951797,-26.88784745,"R.Luiz José Bento da Silva-R.Blumenau",444,157,-48.6793087941677,-26.8877764827615,""
"7711","2019-876",2019-04-08,"17:00","Abril","segunda-feira","queda","R.João Thomaz Pinto","","veículo","Motocicleta","masc.","55",0,0,0,1,"","Asfalto",1479,"25","7",NA,"","","Rio do Meio","Zona Rural/Urbana (limite perímetro urbano)",-48.68545226,-26.9681378,"R.Antonia Apollinário-R.João Thomaz Pinto",1573,1479,-48.6851476296144,-26.9680179920366,""
"772","2019-42",2019-01-02,"11:00","Janeiro","quarta-feira","outros","R.João Thomaz Pinto","","veículo","Automóvel","masc.","32",0,0,0,1,"","Asfalto",1479,"25","7",NA,"","","Rio do Meio","Zona Rural/Urbana (limite perímetro urbano)",-48.68924853,-26.96979368,"",NA,NA,NA,NA,""
"773","2019-10",2019-01-02,"17:40","Janeiro","quarta-feira","colisão","R.Otílio Dalsóquio","","veículo","Caminhonete","masc.","33",0,0,0,1,"","Asfalto",1281,"11","7",NA,"","","Salseiros","Área Urbana",-48.72291378,-26.87874554,"",NA,NA,NA,NA,""
"7731","2019-10",2019-01-02,"17:40","Janeiro","quarta-feira","colisão","R.Otílio Dalsóquio","","veículo","Automóvel","masc.","49",0,0,0,1,"","Asfalto",1281,"11","7",NA,"","","Salseiros","Área Urbana",-48.72291378,-26.87874554,"",NA,NA,NA,NA,""
"774","2019-18",2019-01-02,"16:11","Janeiro","quarta-feira","choque","R.Luci Canziani","","veículo","Utilitário","fem.","36",0,0,0,1,"ciclofaixa","Asfalto",822,"26","13",NA,"","","Praia Brava de Itajaí","Área Urbana",-48.63242097,-26.9448331,"",NA,NA,NA,NA,""
"775","2019-30",2019-01-04,"14:10","Janeiro","sexta-feira","colisão","R.Rio do Sul","","veículo","Automóvel","masc.","33",0,0,0,1,"","Lajota",507,"10","7",NA,"","","São Judas","Área Urbana",-48.67513663,-26.91130511,"",NA,NA,NA,NA,""
"7751","2019-30",2019-01-04,"14:10","Janeiro","sexta-feira","colisão","R.Rio do Sul","","veículo","Automóvel","","",0,0,0,1,"","Lajota",507,"10","7",NA,"","","São Judas","Área Urbana",-48.67513663,-26.91130511,"",NA,NA,NA,NA,""
"776","2019-24",2019-01-04,"08:00","Janeiro","sexta-feira","colisão","R.Pedro Jerônimo Sedrez","","veículo","Automóvel","masc.","37",0,0,0,1,"","Asfalto",928,"11","7",NA,"","","Cidade Nova","Área Urbana",-48.70590438,-26.91950285,"",NA,NA,NA,NA,""
"7761","2019-24",2019-01-04,"08:00","Janeiro","sexta-feira","colisão","R.Pedro Jerônimo Sedrez","","veículo","Caminhão","","",0,0,0,1,"","Asfalto",928,"11","7",NA,"","","Cidade Nova","Área Urbana",-48.70590438,-26.91950285,"",NA,NA,NA,NA,""
"777","2019-214",2019-01-10,"17:40","Janeiro","quinta-feira","colisão","Av.Cel.Eugênio Muller","Av.Cel.Marcos Konder","veículo","Motocicleta","masc.","24",0,1,0,1,"ciclofaixa","Asfalto",162,"25","21",274,"30","22","Centro","Área Urbana",-48.66369361,-26.90217893,"",NA,NA,NA,NA,""
