codocorren,data,hora,mes,diaSemana,tipo,viaA,viaB,tipoenvolv,tipoAutomo,genero,idade,embriagado,vitima,obito,habilitado,ciclo,pavimentac,viaACod,viaATotal,viaAFxRola,viaBCod,viaBtotal,viaBFxRola,bairro,zona,longX,latY,intersecao,intersecaoCodA,intersecaoCodB,intersecaolongx,intersecaolaty,intersecaoCiclo
2019-582,2019-03-11,12:01,Março,segunda-feira,colisão,R.Vicente Cândido Pereira,R.Domingos Rampelotti,"veículo,veículo","Caminhonete,Motoneta","masc.,masc.","27,22",0,0,0,1,,Asfalto,1407,10,7,1402,11,7,São Roque,Zona Rural/Urbana (limite perímetro urbano),-48.71919564,-26.90181844,R.Domingos Rampelotti-R.Vicente Cândido Pereira,1402,1407,-48.7191670686849,-26.901749062313993,
2019-535,2019-03-06,18:00,Março,quarta-feira,colisão,Av.Itaipava,R.Pedro Wanzuita,"veículo,veículo","Automóvel,Caminhão",masc.,22,0,0,0,1,,Asfalto,1413,11,7,1416,18,"9,5",Itaipava,Zona Rural/Urbana (limite perímetro urbano),-48.71724799,-26.94121211,R.Pedro Wanzuita-Av.Itaipava,1416,1413,-48.717271613147645,-26.941166896622743,
2019-645,2019-03-17,13:30,Março,domingo,queda,R.Lídia Puel Peixer,R.Arcílio Zeverino,veículo,Motocicleta,masc.,26,0,1,0,1,,Lajota,1063,10,7,1065,12,8,Murta,Área Urbana,-48.70006148,-26.87717089,R.Lídia Puel Peixer-R.Arcílio Zeverino,1063,1065,-48.70005926890227,-26.877148821914652,
2019-765,2019-03-29,12:50,Março,sexta-feira,colisão,R.José Luiz Marcelino,R.Lídia Puel Peixer,"veículo,veículo","Ônibus,Motocicleta","masc.,masc.","43,31",0,1,0,1,,Asfalto,1061,"10,2",7,1063,10,7,Murta,Área Urbana,-48.69983879,-26.87333399,R.Lídia Puel Peixer-R.José Luiz Marcelino,1063,1061,-48.700121104338336,-26.873122725975897,
2019-420,2019-02-20,19:45,Fevereiro,quarta-feira,colisão,R.Fermino Vieira Cordeiro,R.Irineu Maria,"veículo,veículo","Automóvel,Automóvel","masc.,fem.","30,43",0,0,0,1,,Misto (Asfalto/Paralelepípedo),1360,11,7,1373,12,8,Espinheiros,Zona Rural/Urbana (limite perímetro urbano),-48.73685313,-26.89752102,R.Irineu Maria-R.Fermino Vieira Cordeiro,1373,1360,-48.7368428722035,-26.897574213169104,
2019-76,2019-01-06,08:00,Janeiro,domingo,queda,R.Fermino Vieira Cordeiro,,veículo,Motocicleta,masc.,53,0,1,0,1,,Misto (Asfalto/Paralelepípedo),1360,11,7,NA,,,Espinheiros,Zona Rural/Urbana (limite perímetro urbano),-48.74321103,-26.89460533,R.Cypriano Nunes dos Santos-R.Fermino Vieira Cordeiro,1382,1360,-48.74323067122935,-26.89455200704393,
2019-739,2019-03-26,19:05,Março,terça-feira,colisão,R.Carlos Luiz Stringari,R.Antônio Notari,"veículo,veículo","Automóvel,Motocicleta",masc.,25,0,0,0,1,,Lajota,1376,12,8,1375,12,8,Espinheiros,Zona Rural/Urbana (limite perímetro urbano),-48.73461293,-26.88861744,R.Atilio Dalsóquio-R.Antônio Notari,1378,1375,-48.73475157319739,-26.888707102325206,
2019-399,2019-02-16,07:20,Fevereiro,sábado,choque,R.Pedro Reis,,"veículo,veículo","Caminhão_Trator,Motoneta","masc.,masc.","37,37",0,0,0,1,,Lajota,1351,11,7,NA,,,Santa Regina,Zona Rural/Urbana (limite perímetro urbano),-48.73579117,-26.87978479,Av.Marcos Luís Cabral-R.Pedro Reis,1358,1351,-48.73581737263635,-26.8797447286597,
2019-538,2019-03-06,15:00,Março,quarta-feira,colisão,R.Fermino Vieira Cordeiro,,"veículo,veículo","Caminhonete,Automóvel",masc.,47,0,0,0,1,,Misto (Asfalto/Paralelepípedo),1360,11,7,NA,,,Espinheiros,Zona Rural/Urbana (limite perímetro urbano),-48.72229499,-26.89690748,R.Francisco Garcia-R.Fermino Vieira Cordeiro,1363,1360,-48.72263135272659,-26.896853428010004,
2019-339,2019-02-11,19:30,Fevereiro,segunda-feira,colisão,R.Onildo Reis,R.Henrique Michels Júnior,"veículo,veículo","Automóvel,Automóvel","masc.,masc.","48,48",0,1,0,1,,Paralelepípedo,1361,13,8,1174,15,10,Cordeiros,Área Urbana,-48.71775141,-26.8948219,R.Onildo Reis-R.Henrique Michels Júnior,1361,1174,-48.717781746240824,-26.89486952820374,
2019-980,2019-04-25,10:20,Abril,quinta-feira,colisão,R.Onildo Reis,R.Henrique Michels Júnior,"veículo,veículo","Caminhonete,Automóvel","masc.,masc.","48,52",0,0,0,1,,Paralelepípedo,1361,13,8,1174,15,10,Cordeiros,Área Urbana,-48.71774281,-26.89481497,R.Onildo Reis-R.Henrique Michels Júnior,1361,1174,-48.717781746240824,-26.89486952820374,
2019-131,2019-01-18,13:30,Janeiro,sexta-feira,engavetamento,Av.Ver.Abrahão João Francisco,,"veículo,veículo,veículo","Automóvel,Caminhonete,Automóvel","fem.,masc.,fem.","18,48,37",0,0,0,1,ciclovia,Asfalto,265,"29,4","16,4",NA,,,Carvalho,Área Urbana,-48.66020229,-26.91337808,R.Júlio Willerding-Av.Ver.Abrahão João Francisco,1607,265,-48.660142816601635,-26.91334308344943,
2019-926,2019-04-18,21:30,Abril,quinta-feira,colisão,R.Júlio Willerding,Av.Ver.Abrahão João Francisco,"veículo,veículo","Motoneta,Automóvel","fem.,masc.","19,24",0,1,0,1,ciclovia,Lajota,1607,8,5,265,"29,4","16,4",Fazenda,Área Urbana,-48.6600639,-26.91346866,R.Júlio Willerding-Av.Ver.Abrahão João Francisco,1607,265,-48.660142816601635,-26.91334308344943,
2019-153,2019-01-21,18:30,Janeiro,segunda-feira,colisão,R.Luiz Lopes Gonzaga,R.Profª.Erotides da Silva Fontes,"veículo,veículo","Motocicleta,Automóvel","masc.,fem.","51,56",0,1,0,1,ciclofaixa,Asfalto,50,"13,2","9,2",107,20,13,São Vicente,Área Urbana,-48.69388848,-26.9094433,R.Profª.Erotides da Silva Fontes-R.Luiz Lopes Gonzaga,107,50,-48.693942832756605,-26.909443053266294,
